RPM,Temperature
,
000192,0017
000192,0017
000192,0017
000192,0017
000192,0017
000192,0017
000192,0017
000192,0017
000192,0017
000192,0017
000775,0000
003013,0017
000000,0000
000000,0018
005659,0018
005764,0018
006131,0019
005422,0019
004977,0019
004615,0020
004570,0020
004424,0022
004384,0025
004263,0029
004248,0033
004208,0038
004117,0042
004097,0047
004097,0050
004087,0053
003987,0056
004072,0000
004107,0061
004107,0063
004228,0065
004122,0067
004238,0069
004228,0070
004238,0072
004233,0073
004127,0074
004223,0075
004243,0076
004228,0076
004233,0000
004243,0078
004218,0078
004248,0079
004379,0079
004273,0080
004253,0080
004343,0081
004389,0082
004283,0082
004278,0083
004278,0083
004343,0084
004389,0085
000000,0085
004283,0086
004374,0086
004384,0087
004414,0087
004404,0088
004504,0089
004389,0089
004529,0090
000000,0091
004565,0091
004705,0092
004745,0092
004846,0092
004806,0091
004906,0091
004916,0090
004967,0090
004992,0090
004956,0089
004992,0090
005032,0090
000000,0091
005176,0094
000000,0099
008671,0000
010698,0109
019592,0000
020154,0347
020572,0388
022513,0421
023366,0451
024376,0496
025666,0529
027072,0553
000000,0569
028010,0567
028732,0564
030534,0571
032176,0577
-32100,0583
-30208,0587
-29104,0590
-27397,0586
000000,0580
-23492,0569
-20771,0559
-18337,0549
-16068,0540
-14537,0529
