RPM,Temperature
,
000192,0019
000192,0019
000192,0019
000192,0019
000192,0018
000192,0018
000192,0019
000192,0019
000192,0019
000192,0018
000579,0019
002402,0019
003606,0019
004580,0019
005196,0019
005659,0020
005885,0020
005432,0020
005181,0020
004946,0020
004766,0021
004690,0020
004595,0020
004549,0022
004549,0027
004524,0031
004419,0036
004384,0041
004399,0047
004399,0052
004389,0056
004384,0060
004394,0063
004384,0066
004419,0068
004394,0070
004419,0072
004424,0000
004504,0076
004439,0077
004434,0078
004464,0079
004544,0080
004549,0081
004565,0082
004519,0084
004529,0085
004429,0085
004419,0086
004499,0087
004399,0088
004374,0088
004364,0089
004364,0090
004273,0091
004384,0092
004534,0093
004560,0093
004690,0094
004615,0093
004745,0094
004871,0094
000000,0095
000000,0100
004972,0102
000000,0104
000000,0108
000000,0111
000000,0116
006282,0122
000000,0127
011291,0143
013011,0161
014728,0186
016089,0216
017424,0266
017831,0303
019737,0326
021696,0357
022177,0385
023949,0437
025204,0478
026202,0508
027487,0536
029059,0564
030474,0590
000000,0604
033892,0615
029380,0586
023607,0548
019707,0493
017233,0439
015732,0388
015120,0337
014643,0308
013649,0000
000000,0248
013494,0000
013328,0207
013303,0191
013343,0178
013308,0166
013252,0156
013232,0146
013222,0139
013177,0132
013227,0000
