Time - RPM	Amplitude - RPM	Time - Requested RPM	Amplitude - Requested RPM
110	0	110	0
111	0	111	0
112	0	112	0
113	56022	113	0
114	56228	114	0
115	56228	115	70000
116	56278	116	70000
117	59235	117	70000
118	68350	118	70000
119	70653	119	70000
120	72325	120	70000
121	73027	121	70000
122	73027	122	70000
123	72942	123	70000
124	72857	124	70000
125	72857	125	70000
126	73027	126	70000
127	72942	127	70000
128	72942	128	70000
129	73113	129	70000
130	73203	130	70000
131	73289	131	70000
132	73203	132	70000
133	72766	133	70000
134	0	134	70000
135	72942	135	70000
136	73027	136	70000
137	72942	137	70000
138	72942	138	70000
139	73203	139	70000
140	73289	140	70000
141	73203	141	75000
142	73289	142	75000
143	73113	143	75000
144	73289	144	75000
145	0	145	75000
146	0	146	75000
147	77093	147	75000
148	77093	148	75000
149	77194	149	75000
150	77385	150	75000
151	0	151	75000
152	0	152	75000
153	0	153	75000
154	0	154	75000
155	0	155	75000
156	0	156	75000
157	0	157	75000
158	77986	158	80000
159	79311	159	80000
160	0	160	80000
161	0	161	80000
162	0	162	80000
163	0	163	80000
164	0	164	80000
165	81871	165	80000
166	0	166	80000
167	0	167	80000
168	81871	168	80000
169	81977	169	80000
170	81977	170	90000
171	81977	171	90000
172	88406	172	90000
173	0	173	90000
174	0	174	90000
175	0	175	90000
176	92573	176	90000
177	92708	177	90000
178	92849	178	90000
179	92849	179	90000
180	0	180	90000
181	0	181	90000
182	93130	182	90000
183	92990	183	90000
184	92990	184	90000
185	93130	185	100000
186	92849	186	100000
187	92990	187	100000
188	97773	188	100000
189	101527	189	100000
190	101527	190	100000
191	102200	191	100000
192	0	192	100000
193	0	193	100000
194	102726	194	100000
195	0	195	100000
196	102726	196	100000
197	0	197	100000
198	102726	198	100000
199	102726	199	100000
200	102897	200	100000
201	102726	201	100000
202	102726	202	110000
203	103239	203	110000
204	109171	204	110000
205	109171	205	110000
206	111776	206	110000
207	111776	207	110000
208	112183	208	110000
209	112183	209	110000
210	112389	210	110000
211	103239	211	110000
212	45813	212	110000
213	34193	213	110000
214	0	214	110000
215	21118	215	110000
216	17851	216	110000
217	15457	217	110000
218	13665	218	110000
219	12093	219	110000
220	10864	220	110000
221	10864	221	110000
222	9825	222	110000
223	8083	223	110000
224	8083	224	110000
225	6823	225	110000
226	6823	226	110000
