RPM,Temperature,Pump Value 1,Pump Value 2
,0020,0,0,60
,0020,0,0,60
,0020,0,0,60
,0020,0,0,60
,0020,0,0,60
,0020,0,0,60
,0020,0,0,60
,0020,0,0,60
,0020,0,0,60
,0020,0,0,60
,0020,0,0,60
001592,0020,0,0,60
002521,0020,0,0,60
004051,0021,0,0,60
005145,0021,0,0,60
006129,0021,0,0,60
006531,0021,0,0,60
006955,0021,0,0,60
006546,0021,0,0,60
006250,0022,160,16,60
005947,0022,160,16,60
005861,0022,160,16,60
005660,0023,160,16,60
005644,0026,160,16,60
005609,0031,160,16,60
005604,0037,160,16,60
005609,0042,160,16,60
005559,0048,160,16,60
005564,0053,160,16,60
005549,0057,160,16,60
005417,0061,160,16,60
005569,0065,160,16,60
005554,0068,160,16,60
005559,0071,160,16,60
005417,0074,160,16,60
005397,0076,160,16,60
005518,0078,160,16,60
005569,0080,160,16,60
005402,0081,160,16,60
005579,0082,160,16,60
005357,0083,160,16,60
005372,0085,160,16,60
005397,0086,160,16,60
005427,0087,160,16,60
005407,0088,160,16,60
005392,0088,160,16,60
005412,0089,160,16,60
005432,0089,160,16,60
005417,0090,160,16,60
005397,0090,160,16,60
005599,0090,160,21,60
005609,0091,160,21,60
005473,0091,160,21,60
005639,0091,160,21,60
005629,0091,160,21,60
005609,0092,160,21,60
005649,0092,160,21,60
005619,0092,160,21,60
005614,0092,160,21,60
005634,0092,160,21,60
005624,0093,160,22,60
005665,0093,160,22,60
005670,0095,160,23,60
005851,0099,160,24,60
005750,0103,160,24,60
007791,0108,160,15,60
010613,0114,160,15,60
012100,0126,160,17,60
013668,0140,160,19,60
016167,0157,160,20,60
016167,0171,160,21,60
017023,0186,160,23,60
018036,0200,160,23,60
018359,0216,160,24,60
019411,0232,160,25,60
020616,0246,160,25,60
021565,0261,160,26,60
020224,0275,160,26,60
020686,0286,160,28,60
021358,0298,160,27,60
022426,0311,160,27,60
022426,0322,160,28,60
023216,0333,160,28,60
023418,0343,160,28,60
023635,0352,160,29,60
024105,0362,160,29,60
024105,0370,160,29,60
024350,0378,160,30,60
024476,0386,160,30,60
024632,0394,160,30,60
025046,0402,160,30,60
025400,0411,160,30,60
025806,0421,160,31,60
026099,0427,160,31,60
026392,0434,160,31,60
026735,0440,160,31,60
027112,0445,160,32,60
027061,0450,160,32,60
028195,0455,160,32,60
028543,0459,160,32,60
028543,0463,160,33,60
029808,0469,160,33,60
030323,0473,160,33,60
030750,0477,160,34,60
032312,0477,160,35,60
032312,0477,160,35,60
032681,0477,160,36,60
033330,0477,160,36,60
034117,0492,160,37,60
034968,0495,160,37,60
035195,0497,160,37,60
035635,0498,160,39,60
036390,0501,160,39,60
037382,0504,160,39,60
037856,0507,160,40,60
038536,0508,160,40,60
039323,0509,160,41,60
040270,0509,160,41,60
041671,0510,160,42,60
042921,0511,160,43,60
043797,0511,80,255,60
045425,0511,80,255,60
047849,0514,84,255,60
050081,0518,84,255,60
050081,0521,84,255,60
056658,0524,84,255,60
059112,0523,84,255,60
060543,0520,84,255,60
061475,0512,84,255,60
061985,0504,84,255,60
061985,0497,84,255,60
061985,0497,84,255,60
061985,0497,84,255,60
062891,0478,84,255,60
062891,0474,84,255,60
062891,0470,84,255,60
062439,0466,84,255,60
062181,0462,84,255,60
062050,0460,84,255,60
062050,0458,84,255,60
061985,0457,84,255,60
062116,0456,84,255,60
062247,0456,84,255,60
062378,0456,84,255,60
062313,0455,84,255,60
062116,0454,84,255,60
061793,0452,84,255,60
061601,0451,84,255,60
061919,0450,84,255,60
062181,0450,84,255,60
062313,0449,84,255,60
062313,0448,84,255,60
062313,0448,84,255,60
062378,0447,84,255,60
062247,0447,84,255,60
062378,0447,84,255,60
062378,0448,84,255,60
062378,0448,84,255,60
062378,0449,84,255,60
062378,0450,84,255,60
062378,0451,84,255,60
062957,0451,84,255,60
063224,0452,84,255,60
063295,0452,84,255,60
063361,0453,84,255,60
063361,0453,84,255,60
063562,0454,84,255,60
063633,0454,84,255,60
063699,0455,84,255,60
063633,0455,84,255,60
063562,0455,84,255,60
063699,0455,84,255,60
063562,0455,84,255,60
063361,0455,84,255,60
063361,0455,84,255,60
063159,0455,84,255,60
063295,0454,84,255,60
063361,0454,84,255,60
063497,0454,84,255,60
063361,0454,84,255,60
063361,0455,84,255,60
063295,0455,84,255,60
063426,0455,84,255,60
063633,0455,84,255,60
063562,0454,84,255,60
063699,0454,84,255,60
063699,0454,84,255,60
063699,0454,84,255,60
063699,0454,84,255,60
