RPM,Temperature,Pump PWM,Pump Enable,Requested RPM
000000,0020,0,0,60
000000,0020,0,0,60
000000,0020,0,0,60
000000,0020,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0020,0,0,60
000000,0020,0,0,60
000000,0020,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0020,0,0,60
000000,0020,0,0,60
000000,0020,0,0,60
000000,0020,0,0,60
000000,0020,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0020,0,0,60
000000,0020,0,0,60
000000,0020,0,0,60
000000,0019,0,0,60
000000,0020,0,0,60
000000,0020,0,0,60
000000,0019,0,0,60
000000,0020,0,0,60
000000,0020,0,0,60
000000,0020,0,0,60
000000,0020,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0020,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0020,0,0,60
000000,0019,0,0,60
000000,0020,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0020,0,0,60
000000,0020,0,0,60
000000,0019,0,0,60
000000,0020,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
001663,0020,0,0,60
002112,0019,0,0,60
002476,0019,0,0,60
002893,0020,0,0,60
003291,0020,0,0,60
003680,0020,0,0,60
003951,0020,0,0,60
004233,0020,0,0,60
004536,0020,0,0,60
004713,0020,0,0,60
004955,0020,0,0,60
005160,0020,0,0,60
005589,0019,0,0,60
005649,0019,0,0,60
005922,0019,0,0,60
006018,0020,0,0,60
006230,0020,0,0,60
006290,0020,0,0,60
006495,0020,0,0,60
006546,0020,0,0,60
006834,0020,0,0,60
006899,0020,0,0,60
006950,0020,0,0,60
007025,0021,0,0,60
007025,0021,0,0,60
007071,0021,0,0,60
007313,0021,0,0,60
007121,0020,0,0,60
007374,0021,0,0,60
007399,0021,0,0,60
007101,0021,0,0,60
007056,0020,0,0,60
006919,0020,0,0,60
006929,0020,160,16,60
006884,0020,160,16,60
006884,0020,160,16,60
006647,0020,160,16,60
006596,0020,160,16,60
006551,0020,160,16,60
006346,0020,160,16,60
006306,0020,160,16,60
006306,0020,160,16,60
006245,0020,160,16,60
006245,0020,160,16,60
006245,0020,160,16,60
006144,0020,160,16,60
006028,0021,160,16,60
006038,0021,160,16,60
006149,0021,160,16,60
005932,0021,160,16,60
006114,0021,160,16,60
005942,0022,160,16,60
006053,0021,160,16,60
005867,0021,160,16,60
005887,0022,160,16,60
005841,0022,160,16,60
005695,0022,160,16,60
005851,0022,160,16,60
005841,0021,160,16,60
005690,0022,160,16,60
005675,0021,160,16,60
005841,0021,160,16,60
005660,0021,160,16,60
005660,0021,160,16,60
005644,0021,160,16,60
005619,0022,160,16,60
005619,0021,160,16,60
005614,0021,160,16,60
005599,0022,160,16,60
005463,0022,160,16,60
005443,0022,160,16,60
005443,0022,160,16,60
005437,0022,160,16,60
005604,0022,160,16,60
005559,0022,160,16,60
005427,0021,160,16,60
005468,0021,160,16,60
005564,0022,160,16,60
005412,0022,160,16,60
005422,0022,160,16,60
005412,0022,160,16,60
005427,0022,160,16,60
005569,0022,160,16,60
005538,0022,160,16,60
005549,0022,160,16,60
005538,0022,160,16,60
005427,0022,160,16,60
005579,0022,160,16,60
005382,0022,160,16,60
005402,0022,160,16,60
005382,0022,160,16,60
005402,0023,160,16,60
005397,0023,160,16,60
005372,0023,160,16,60
005392,0023,160,16,60
005543,0023,160,16,60
005377,0023,160,16,60
005397,0023,160,16,60
005518,0023,160,16,60
005367,0023,160,16,60
005392,0023,160,16,60
005392,0023,160,16,60
005372,0023,160,16,60
005387,0023,160,16,60
005377,0023,160,16,60
005407,0022,160,16,60
005342,0023,160,16,60
005397,0023,160,16,60
005528,0022,160,16,60
005362,0023,160,16,60
005528,0023,160,16,60
005402,0023,160,16,60
005392,0023,160,16,60
005372,0023,160,16,60
005362,0023,160,16,60
005352,0023,160,16,60
005372,0023,160,16,60
005215,0023,160,16,60
005362,0023,160,16,60
005473,0024,160,16,60
005357,0023,160,16,60
005382,0023,160,16,60
005372,0023,160,16,60
005185,0024,160,16,60
005337,0023,160,16,60
005357,0023,160,16,60
005342,0023,160,16,60
005352,0023,160,16,60
005377,0023,160,16,60
005210,0023,160,16,60
005357,0023,160,16,60
005367,0023,160,16,60
005331,0023,160,16,60
005347,0023,160,16,60
005352,0023,160,16,60
005347,0023,160,16,60
005347,0023,160,16,60
005347,0023,160,16,60
005220,0024,160,16,60
005195,0024,160,16,60
005352,0024,160,16,60
005337,0024,160,16,60
005342,0024,160,16,60
005342,0024,160,16,60
005321,0024,160,16,60
005326,0024,160,16,60
005367,0024,160,16,60
005352,0024,160,16,60
005357,0024,160,16,60
005352,0024,160,16,60
005337,0024,160,16,60
