RPM,Temperature,Pump PWM,Pump Enable,Requested RPM
000000,0022,0,0,60
000000,0022,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
000000,0021,0,0,60
003029,0022,0,0,60
000000,0022,0,0,60
001638,0022,0,0,60
002324,0022,0,0,60
002968,0022,0,0,60
003564,0022,0,0,60
004057,0022,0,0,60
004556,0022,0,0,60
004935,0023,0,0,60
005347,0023,0,0,60
005639,0023,0,0,60
005917,0024,0,0,60
006099,0024,0,0,60
006500,0024,0,0,60
006581,0024,0,0,60
006864,0024,0,0,60
006879,0025,0,0,60
006778,0025,0,0,60
006566,0026,160,16,60
006521,0027,160,16,60
006455,0027,160,16,60
006275,0028,160,16,60
006275,0028,160,16,60
006190,0029,160,16,60
006185,0030,160,16,60
006008,0032,160,16,60
006159,0033,160,16,60
006159,0035,160,16,60
006185,0037,160,16,60
006094,0039,160,16,60
006139,0042,160,16,60
005967,0044,160,16,60
006073,0047,160,16,60
006089,0049,160,16,60
005922,0051,160,16,60
005932,0053,160,16,60
005877,0055,160,16,60
005897,0057,160,16,60
005872,0059,160,16,60
005745,0060,160,16,60
005861,0061,160,16,60
005700,0062,160,16,60
005826,0064,160,16,60
005841,0065,160,16,60
005851,0066,160,16,60
005826,0067,160,16,60
005705,0069,160,16,60
005836,0070,160,16,60
005680,0071,160,16,60
005649,0071,160,16,60
005685,0072,160,16,60
005791,0073,160,16,60
005796,0074,160,16,60
005665,0074,160,16,60
005761,0075,160,16,60
005771,0075,160,16,60
005655,0076,160,16,60
005594,0076,160,16,60
005644,0076,160,16,60
005806,0077,160,16,60
005644,0077,160,16,60
005453,0078,160,16,60
005624,0078,160,16,60
005629,0078,160,16,60
005619,0079,160,16,60
005776,0079,160,16,60
005619,0079,160,16,60
005639,0079,160,16,60
005655,0080,160,16,60
005614,0080,160,16,60
005655,0080,160,16,60
005639,0080,160,16,60
005634,0080,160,16,60
005619,0080,160,16,60
005614,0080,160,16,60
005624,0081,160,16,60
005614,0081,160,16,60
005599,0081,160,16,60
005599,0081,160,16,60
005644,0081,160,16,60
005619,0081,160,16,60
005655,0081,160,16,60
005629,0081,160,16,60
005574,0082,160,16,60
005639,0081,160,16,60
005649,0081,160,16,60
005639,0082,160,16,60
005655,0082,160,16,60
005639,0082,160,16,60
005644,0082,160,16,60
005644,0082,160,16,60
005639,0083,160,16,60
005594,0083,160,16,60
005831,0083,160,16,60
005624,0083,160,16,60
005660,0084,160,16,60
005670,0083,160,16,60
005649,0083,160,16,60
005624,0083,160,16,60
005776,0083,160,16,60
005655,0084,160,16,60
005609,0084,160,16,60
005649,0084,160,16,60
005660,0084,160,16,60
005629,0084,160,16,60
005660,0083,160,16,60
005670,0084,160,16,60
005629,0084,160,16,60
005639,0084,160,16,60
005670,0083,160,16,60
005644,0084,160,16,60
005670,0084,160,16,60
005690,0084,160,16,60
005655,0084,160,16,60
005665,0084,160,16,60
005791,0084,160,16,60
005655,0084,160,16,60
005660,0084,160,16,60
005660,0084,160,16,60
005705,0085,160,16,60
005826,0085,160,16,60
005639,0085,160,16,60
005685,0085,160,16,60
005831,0085,160,16,60
005665,0085,160,16,60
005685,0085,160,16,60
005680,0086,160,16,60
005836,0086,160,16,60
005700,0086,160,16,60
005670,0086,160,16,60
005680,0086,160,16,60
005816,0086,160,16,60
005806,0086,160,16,60
005680,0087,160,16,60
005821,0087,160,16,60
005705,0087,160,16,60
005806,0087,160,16,60
005680,0087,160,16,60
005806,0087,160,16,60
005861,0087,160,16,60
005720,0087,160,16,60
005720,0087,160,16,60
005715,0088,160,16,60
005700,0087,160,16,60
005811,0087,160,16,60
005740,0088,160,16,60
005690,0088,160,16,60
005720,0088,160,16,60
005680,0088,160,16,60
005836,0088,160,16,60
005811,0088,160,16,60
005877,0088,160,16,60
005836,0088,160,16,60
005841,0088,160,16,60
005695,0088,160,16,60
005836,0088,160,16,60
005846,0088,160,16,60
005730,0089,160,16,60
005685,0089,160,16,60
005816,0089,160,16,60
005856,0089,160,16,60
005715,0089,160,16,60
005700,0088,160,16,60
005735,0088,160,16,60
005705,0089,160,16,60
005685,0088,160,16,60
005705,0089,160,16,60
005690,0089,160,16,60
005841,0089,160,16,60
005720,0089,160,16,60
005851,0089,160,16,60
005690,0090,160,16,60
005725,0090,160,16,60
005730,0090,160,16,60
005735,0090,160,21,60
005836,0090,160,21,60
005882,0090,160,21,60
005897,0090,160,21,60
005902,0090,160,21,60
005761,0090,160,21,60
005917,0090,160,21,60
005902,0090,160,21,60
005907,0090,160,21,60
005917,0090,160,21,60
005932,0090,160,21,60
005927,0090,160,21,60
005932,0090,160,21,60
005917,0091,160,21,60
005907,0091,160,21,60
005932,0090,160,21,60
005912,0091,160,21,60
005912,0091,160,21,60
005902,0091,160,21,60
005882,0091,160,21,60
005927,0091,160,21,60
005922,0092,160,21,60
006058,0093,160,21,60
005937,0094,160,21,60
005932,0095,160,21,60
005978,0096,160,21,60
006008,0099,160,22,60
005998,0101,160,22,60
006033,0103,160,22,60
006225,0105,160,22,60
006240,0107,160,23,60
006290,0110,160,23,60
006336,0113,160,23,60
006505,0117,160,23,60
006546,0121,160,24,60
006581,0125,160,24,60
006617,0130,160,24,60
006798,0134,160,24,60
007480,0140,160,24,60
007480,0145,160,16,60
009919,0150,160,16,60
011560,0160,160,16,60
012680,0168,160,17,60
013102,0179,160,17,60
013688,0195,160,17,60
014827,0210,160,21,60
015271,0210,160,21,60
016086,0246,160,21,60
017058,0261,160,21,60
017634,0279,160,21,60
019075,0296,160,23,60
018818,0309,160,23,60
019750,0324,160,23,60
