RPM,Temperature,Pump PWM,Pump Enable,Requested RPM,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
0,16,0,0,80,
1597,16,0,0,80,
1941,16,0,0,80,
2466,16,0,0,80,
2751,16,0,0,80,
3195,17,0,0,80,
3559,17,0,0,80,
3715,17,0,0,80,
4178,18,0,0,80,
4369,17,0,0,80,
4758,18,0,0,80,
4945,18,0,0,80,
5321,18,0,0,80,
5867,18,0,0,80,
5907,18,0,0,80,
6169,18,0,0,80,
6174,18,0,0,80,
6490,18,0,0,80,
6536,18,0,0,80,
6546,18,0,0,80,
6632,18,0,0,80,
6622,18,0,0,80,
6566,18,0,0,80,
6586,18,0,0,80,
6516,17,0,0,80,
6460,18,160,16,80,
6440,18,160,16,80,
6440,19,160,16,80,
6220,19,160,16,80,
6215,20,160,16,80,
6008,20,160,16,80,
5998,20,160,16,80,
5967,20,160,16,80,
5973,21,160,16,80,
6124,21,160,16,80,
5937,22,160,16,80,
5907,23,160,16,80,
5957,24,160,16,80,
5917,25,160,16,80,
6058,27,160,16,80,
5902,28,160,16,80,
5882,29,160,16,80,
5730,30,160,16,80,
5907,31,160,16,80,
5856,32,160,16,80,
5877,34,160,16,80,
5877,36,160,16,80,
5882,37,160,16,80,
5882,39,160,16,80,
5867,40,160,16,80,
5856,42,160,16,80,
5867,43,160,16,80,
5715,45,160,16,80,
5730,48,160,16,80,
5856,49,160,16,80,
5695,50,160,16,80,
5861,52,160,16,80,
5675,53,160,16,80,
5826,54,160,16,80,
5872,55,160,16,80,
5725,56,160,16,80,
5690,57,160,16,80,
5856,57,160,16,80,
5831,58,160,16,80,
5821,59,160,16,80,
5816,61,160,16,80,
5649,62,160,16,80,
5649,63,160,16,80,
5649,64,160,16,80,
5624,65,160,16,80,
5660,65,160,16,80,
5801,66,160,16,80,
5649,66,160,16,80,
5649,67,160,16,80,
5644,67,160,16,80,
5639,68,160,16,80,
5604,68,160,16,80,
5614,69,160,16,80,
5604,69,160,16,80,
5644,70,160,16,80,
5599,70,160,16,80,
5624,71,160,16,80,
5478,71,160,16,80,
5599,71,160,16,80,
5422,72,160,16,80,
5604,72,160,16,80,
5619,72,160,16,80,
5644,73,160,16,80,
5483,73,160,16,80,
5619,73,160,16,80,
5604,73,160,16,80,
5594,73,160,16,80,
5574,74,160,16,80,
5644,74,160,16,80,
5584,75,160,16,80,
5584,75,160,16,80,
5559,75,160,16,80,
5604,76,160,16,80,
5437,76,160,16,80,
5584,75,160,16,80,
5569,76,160,16,80,
5473,76,160,16,80,
5569,76,160,16,80,
5478,76,160,16,80,
5564,76,160,16,80,
5503,75,160,16,80,
5574,76,160,16,80,
5448,76,160,16,80,
5594,77,160,16,80,
5432,77,160,16,80,
5453,77,160,16,80,
5594,77,160,16,80,
5579,77,160,16,80,
5604,77,160,16,80,
5584,78,160,16,80,
5422,78,160,16,80,
5432,78,160,16,80,
5584,78,160,16,80,
5579,78,160,16,80,
5569,78,160,16,80,
5599,78,160,16,80,
5432,78,160,16,80,
5554,78,160,16,80,
5437,78,160,16,80,
5437,79,160,16,80,
5422,78,160,16,80,
5579,79,160,16,80,
5412,79,160,16,80,
5448,79,160,16,80,
5574,79,160,16,80,
5422,79,160,16,80,
5402,79,160,16,80,
5579,80,160,16,80,
5422,80,160,16,80,
5584,80,160,16,60,
5579,80,160,16,60,
5609,80,160,16,60,
5584,80,160,16,60,
5599,80,160,16,60,
5604,80,160,16,60,
5443,80,160,16,60,
5458,81,160,16,60,
5468,80,160,16,60,
5453,80,160,16,60,
5584,80,160,16,60,
5589,80,160,16,60,
5448,80,160,16,60,
5549,80,160,16,60,
5589,80,160,16,60,
5599,80,160,16,60,
5458,81,160,16,60,
5574,81,160,16,60,
5463,81,160,16,60,
5458,81,160,16,60,
5468,81,160,16,60,
5443,81,160,16,60,
5458,81,160,16,60,
5543,81,160,16,60,
5559,81,160,16,60,
5589,81,160,16,60,
5564,81,160,16,60,
5589,80,160,16,60,
5589,80,160,16,60,
5437,81,160,16,60,
5559,80,160,16,60,
5574,81,160,16,60,
5584,81,160,16,60,
5604,81,160,16,60,
5579,81,160,16,60,
5448,81,160,16,60,
5599,81,160,16,60,
5564,81,160,16,60,
5584,81,160,16,60,
5609,81,160,16,60,
5458,82,160,16,60,
5574,82,160,16,60,
5614,82,160,16,60,
5589,82,160,16,60,
5458,82,160,16,60,
5594,82,160,16,60,
5437,82,160,16,60,
5579,81,160,16,60,
5609,81,160,16,60,
5432,81,160,16,60,
5508,81,160,16,60,
5604,81,160,16,60,
5427,81,160,16,60,
5574,82,160,16,60,
5569,81,160,16,60,
5437,82,160,16,60,
5443,82,160,16,60,
5624,82,160,16,60,
5427,82,160,16,60,
5589,82,160,16,60,
5594,82,160,16,60,
5569,82,160,16,60,
5458,82,160,16,60,
5503,83,160,16,60,
5564,83,160,16,60,
5594,83,160,16,60,
5619,83,160,16,60,
5569,84,160,16,60,
5453,84,160,16,60,
5468,84,160,16,60,
5468,83,160,16,60,
5473,83,160,16,60,
5463,83,160,16,60,
5468,83,160,16,60,
5559,83,160,16,60,
5559,83,160,16,60,
5579,83,160,16,60,
5579,83,160,16,60,
5574,83,160,16,60,
5569,83,160,16,60,
5614,83,160,16,60,
5604,83,160,16,60,
5599,83,160,16,60,
5579,83,160,16,60,
5594,83,160,16,60,
5458,84,160,16,60,
5569,84,160,16,60,
5574,84,160,16,60,
5589,84,160,16,60,
5468,84,160,16,60,
5463,84,160,16,60,
5584,84,160,16,60,
5594,85,160,16,60,
5468,85,160,16,60,
5619,85,160,16,60,
5594,85,160,16,60,
5644,85,160,16,60,
5599,85,160,16,60,
5584,85,160,16,60,
5604,85,160,16,60,
5629,85,160,16,60,
5443,85,160,16,60,
5569,85,160,16,60,
5599,85,160,16,60,
5463,86,160,16,60,
5468,86,160,16,60,
5619,86,160,16,60,
5584,86,160,16,60,
5594,86,160,16,60,
5639,87,160,16,60,
5614,87,160,16,60,
5468,87,160,16,60,
5609,87,160,16,60,
5609,87,160,16,60,
5604,87,160,16,60,
5614,87,160,16,60,
5594,88,160,16,60,
5609,87,160,16,60,
5624,87,160,16,60,
5564,87,160,16,60,
5639,88,160,16,60,
5619,88,160,16,60,
5609,88,160,16,60,
5609,88,160,16,60,
5639,88,160,16,60,
5609,88,160,16,60,
5518,88,160,16,60,
5629,88,160,16,60,
5619,88,160,16,60,
5624,89,160,16,60,
5649,89,160,16,60,
5624,89,160,16,60,
5604,89,160,16,60,
5660,89,160,16,60,
5609,89,160,16,60,
5735,89,160,16,60,
5655,89,160,16,60,
5665,89,160,16,60,
5639,89,160,16,60,
5634,89,160,16,60,
5629,89,160,16,60,
5589,89,160,16,60,
5614,90,160,16,60,
5614,90,160,16,60,
5624,89,160,16,60,
5665,89,160,16,60,
5629,89,160,16,60,
5644,89,160,21,60,
5649,89,160,21,60,
5614,90,160,21,60,
5826,90,160,21,60,
5690,90,160,21,60,
5675,90,160,21,60,
5821,89,160,21,60,
5675,89,160,21,60,
5851,89,160,21,60,
5816,89,160,21,60,
5816,89,160,21,60,
5846,89,160,21,60,
5851,89,160,21,60,
5695,89,160,21,60,
5826,89,160,21,60,
5740,90,160,21,60,
5725,89,160,21,60,
5695,90,160,21,60,
5861,90,160,21,60,
5675,90,160,21,60,
5882,90,160,21,60,
5841,90,160,21,60,
5861,90,160,21,60,
5680,90,160,21,60,
5680,90,160,21,60,
5690,90,160,21,60,
5851,90,160,21,60,
5700,90,160,21,60,
5700,91,160,21,60,
5634,91,160,21,60,
5831,91,160,21,60,
5720,91,160,21,60,
5816,91,160,21,60,
5690,91,160,21,60,
5856,91,160,21,60,
5856,92,160,21,60,
5877,92,160,21,60,
5892,93,160,21,60,
5882,94,160,21,60,
5897,95,160,21,60,
5937,96,160,21,60,
6068,97,160,21,60,
5952,101,160,22,60,
5962,102,160,22,60,
5942,104,160,22,60,
6124,105,160,22,60,
6129,107,160,22,60,
5962,109,160,22,60,
6174,110,160,23,60,
6205,112,160,23,60,
6190,114,160,23,60,
6210,116,160,23,60,
6260,119,160,23,60,
6410,122,160,23,60,
6440,124,160,23,60,
6445,128,160,24,60,
6280,130,160,24,60,
6336,133,160,24,60,
6536,136,160,24,60,
6561,139,160,24,60,
6879,142,160,24,60,
7419,145,160,24,60,
8437,149,160,24,60,
9040,154,160,16,60,
9752,157,160,16,60,
10573,163,160,16,60,
11315,167,160,16,60,
11832,173,160,18,60,
12711,179,160,18,60,
13188,186,160,18,60,
13335,193,160,18,60,
14443,205,160,20,60,
15215,213,160,20,60,
16046,213,160,20,60,
15165,213,160,20,60,
15165,236,160,20,60,
16670,244,160,23,60,
16993,251,160,23,60,
17154,260,160,23,60,
18414,269,160,23,60,
18323,276,160,24,60,
18555,283,160,24,60,
18480,289,160,24,60,
19634,297,160,24,60,
19856,303,160,24,60,
20686,312,160,25,60,
20686,318,160,25,60,
21166,325,160,25,60,
22163,332,160,25,60,
22224,339,160,27,60,
22804,346,160,27,60,
22734,352,160,27,60,
22491,360,160,27,60,
23272,367,160,28,60,
23312,374,160,28,60,
23413,380,160,28,60,
23862,386,160,28,60,
24084,392,160,28,60,
24084,398,160,29,60,
24420,404,160,29,60,
24764,410,160,29,60,
25132,416,160,29,60,
25218,421,160,30,60,
25400,426,160,30,60,
25465,430,160,30,60,
25943,434,160,30,60,
26341,438,160,31,60,
26402,441,160,31,60,
26604,444,160,31,60,
26890,447,160,31,60,
27011,450,160,31,60,
27298,452,160,32,60,
27652,454,160,32,60,
27652,456,160,32,60,
27652,457,160,32,60,
28301,459,160,32,60,
28639,461,160,32,60,
28922,463,160,32,60,
29189,466,160,32,60,
29455,467,160,33,60,
29747,469,160,33,60,
29944,471,160,33,60,
30156,472,160,33,60,
30479,475,160,33,60,
30785,477,160,34,60,
31022,479,160,34,60,
31103,479,160,34,60,
31502,479,160,34,60,
32136,479,160,35,60,
32595,479,160,35,60,
32898,479,160,35,60,
32898,479,160,35,60,
33845,492,160,35,60,
34314,494,160,37,60,
34314,496,160,37,60,
34660,498,160,37,60,
35029,500,160,37,60,
35317,502,160,38,60,
35317,504,160,38,60,
35925,505,160,38,60,
36566,507,160,38,60,
37150,509,160,39,60,
37978,512,160,39,60,
38561,514,160,39,60,
39116,517,160,39,60,
39116,520,160,39,60,
40351,522,160,41,60,
40351,524,160,41,60,
41555,526,160,41,60,
42025,528,160,41,60,
42310,530,160,43,60,
43762,532,160,43,60,
43762,534,160,43,60,
45355,535,80,255,60,60000
46115,537,80,255,60,60000
47104,538,86,255,60,60000
47582,539,86,255,60,60000
48122,539,86,255,60,60000
48122,540,86,255,60,60000
48122,540,86,255,60,60000
48122,541,86,255,60,60000
48122,542,86,255,60,60000
54602,542,86,255,60,60000
56029,543,86,255,60,60000
56029,544,86,255,60,60000
58996,544,86,255,60,60000
60669,544,86,255,60,60000
62378,543,85,255,60,60000
62378,542,85,255,60,60000
64943,541,85,255,60,60000
66011,539,85,255,60,60000
66590,537,85,255,60,60000
67190,534,85,255,60,60000
67347,531,85,255,60,60000
67347,527,85,255,60,60000
67347,523,84,255,60,60000
67347,519,84,255,60,60000
67347,514,84,255,60,60000
67498,510,84,255,60,60000
67190,505,84,255,60,60000
67115,501,84,255,60,60000
66817,496,84,255,60,60000
66590,492,84,255,60,60000
66590,492,84,255,60,60000
66590,492,84,255,60,60000
66082,492,84,255,60,60000
65789,477,84,255,60,60000
65502,473,83,255,60,60000
65431,470,83,255,60,60000
65431,467,83,255,60,60000
65431,463,83,255,60,60000
65431,460,83,255,60,60000
64943,458,83,255,60,60000
64943,456,83,255,60,60000
64590,454,83,255,60,60000
64378,452,83,255,60,60000
64030,450,83,255,60,60000
64030,448,83,255,60,60000
63562,447,83,255,60,60000
63426,446,83,255,60,60000
63361,444,83,255,60,60000
63093,443,83,255,60,60000
63093,442,83,255,60,60000
62891,441,83,255,60,60000
62760,440,83,255,60,60000
62760,439,83,255,60,60000
62760,438,83,255,60,60000
62439,438,83,255,60,60000
62313,437,83,255,60,60000
62378,437,83,255,60,60000
62313,437,83,255,60,60000
62116,436,83,255,60,60000
62116,436,83,255,60,60000
62050,436,83,255,60,60000
62116,436,83,255,60,60000
61985,436,83,255,60,60000
62050,436,83,255,60,60000
61985,436,83,255,60,60000
61985,436,83,255,60,60000
62116,436,82,255,60,60000
62050,436,82,255,60,60000
61919,436,82,255,60,60000
62050,436,82,255,60,60000
62050,436,82,255,60,60000
61662,436,82,255,60,60000
61662,436,82,255,60,60000
61475,436,82,255,60,60000
61475,436,82,255,60,60000
61475,436,82,255,60,60000
61475,436,82,255,60,60000
61103,436,82,255,60,60000
60917,435,82,255,60,60000
60917,435,82,255,60,60000
60669,435,82,255,60,60000
60795,435,82,255,60,60000
60609,435,82,255,60,60000
60483,435,82,255,60,60000
60483,436,82,255,60,60000
60422,436,82,255,60,60000
60180,436,82,255,60,60000
60240,436,82,255,60,60000
60180,437,82,255,60,60000
60180,437,82,255,60,60000
60180,437,82,255,60,60000
60180,438,82,255,60,60000
60180,438,82,255,60,60000
60180,439,82,255,60,60000
60180,439,82,255,60,60000
60180,440,82,255,60,60000
60180,440,82,255,60,60000
60180,440,82,255,60,60000
60180,440,82,255,60,60000
60180,441,82,255,60,60000
60180,441,82,255,60,60000
60180,441,82,255,60,60000
60180,441,82,255,60,60000
60180,441,82,255,60,60000
60180,441,82,255,60,60000
60180,441,82,255,60,60000
60180,441,82,255,60,60000
60180,442,82,255,60,60000
60180,442,82,255,60,60000
60301,442,82,255,60,60000
60240,442,82,255,60,60000
60180,442,82,255,60,60000
60361,442,82,255,60,60000
60301,442,82,255,60,60000
60301,442,82,255,60,60000
60422,442,82,255,60,60000
60483,442,82,255,60,60000
60483,442,82,255,60,60000
60422,443,82,255,60,60000
60483,443,82,255,60,60000
60361,443,82,255,60,60000
60483,443,82,255,60,60000
60543,443,82,255,60,60000
60483,443,82,255,60,60000
60543,443,82,255,60,60000
60483,443,82,255,60,60000
60543,444,82,255,60,60000
60609,444,82,255,60,60000
60483,444,82,255,60,60000
60483,444,82,255,60,60000
60422,444,82,255,60,60000
60483,444,82,255,60,60000
60543,444,82,255,60,60000
60422,445,82,255,60,60000
60361,445,82,255,60,60000
60361,445,82,255,60,60000
60361,445,82,255,60,60000
60422,445,82,255,60,60000
60422,446,82,255,60,60000
60483,446,82,255,60,60000
60483,446,82,255,60,60000
60483,446,82,255,60,60000
60361,446,82,255,60,60000
60483,446,82,255,60,60000
60422,446,82,255,60,60000
60301,446,82,255,60,60000
60422,446,82,255,60,60000
60361,446,82,255,60,60000
60483,446,82,255,60,60000
60361,446,82,255,60,60000
60483,446,82,255,60,60000
60422,446,82,255,60,60000
60543,446,82,255,60,60000
60361,446,82,255,60,60000
60483,445,82,255,60,60000
60483,445,82,255,60,60000
60543,446,82,255,60,60000
60422,445,82,255,60,60000
60422,445,82,255,60,60000
60609,445,82,255,60,60000
60609,445,82,255,60,60000
60543,446,82,255,60,60000
60609,446,82,255,60,60000
60669,445,82,255,60,60000
60543,446,82,255,60,60000
60543,445,82,255,60,60000
60609,445,82,255,60,60000
60422,446,82,255,60,60000
60483,445,82,255,60,60000
60609,445,82,255,60,60000
60609,446,82,255,60,60000
60483,445,82,255,60,60000
60543,446,82,255,60,60000
60609,446,82,255,60,60000
60483,445,82,255,60,60000
60483,446,82,255,60,60000
60543,446,82,255,60,60000
60483,446,82,255,60,60000
60361,446,82,255,60,60000
60422,446,82,255,60,60000
60483,446,82,255,60,60000
60422,446,82,255,60,60000
60422,446,82,255,60,60000
60609,447,82,255,60,60000
60543,447,82,255,60,60000
60609,447,82,255,60,60000
60483,447,82,255,60,60000
60483,448,82,255,60,60000
60609,448,82,255,60,60000
60669,448,82,255,60,60000
60483,448,82,255,60,60000
60609,448,82,255,60,60000
60609,448,82,255,60,60000
60609,448,82,255,60,60000
60669,448,82,255,60,60000
60730,448,82,255,60,60000
60669,448,82,255,60,60000
60609,448,82,255,60,60000
60669,448,82,255,60,60000
60669,448,82,255,60,60000
60543,448,82,255,60,60000
60609,448,82,255,60,60000
60669,447,82,255,60,60000
60730,447,82,255,60,60000
60669,447,82,255,60,60000
60669,447,82,255,60,60000
60669,447,82,255,60,60000
60669,447,82,255,60,60000
60609,447,82,255,60,60000
60669,447,82,255,60,60000
60483,447,82,255,60,60000
60422,447,82,255,60,60000
60483,447,82,255,60,60000
60361,448,82,255,60,60000
60422,448,82,255,60,60000
60609,448,82,255,60,60000
60422,448,82,255,60,60000
60543,448,82,255,60,60000
60609,448,82,255,60,60000
60543,448,82,255,60,60000
60669,449,82,255,60,60000
60730,449,82,255,60,60000
60669,449,82,255,60,60000
60730,449,82,255,60,60000
60917,450,82,255,60,60000
60795,450,81,255,60,60000
60669,450,81,255,60,60000
60669,450,81,255,60,60000
60730,450,81,255,60,60000
60609,450,81,255,60,60000
60795,450,81,255,60,60000
60669,451,81,255,60,60000
60301,451,81,255,60,60000
60240,450,81,255,60,60000
