RPM,Temperature
,
000192,0019
000192,0019
000192,0019
000192,0019
000192,0018
000192,0018
000192,0018
000192,0018
000192,0018
000192,0018
000398,0000
002883,0019
003946,0019
004786,0018
005578,0019
005945,0020
006136,0022
005653,0023
005201,0025
005012,0026
004806,0026
004700,0026
004575,0027
004544,0026
004419,0026
004374,0026
004379,0027
004379,0030
004379,0034
004374,0039
004318,0044
004278,0050
004364,0055
004268,0059
004258,0064
004253,0067
004223,0071
004208,0074
004228,0076
004228,0079
004253,0081
004228,0082
004233,0084
004233,0086
004208,0087
004132,0089
004348,0090
004218,0091
004263,0092
004404,0093
004519,0094
004575,0095
004580,0096
004705,0096
004625,0096
004755,0097
004771,0099
004781,0101
004916,0105
004941,0107
004926,0110
004951,0113
006572,0115
008972,0119
010572,0124
010999,0000
011797,0133
011451,0131
011958,0126
011968,0000
011958,0000
011978,0105
011927,0099
012229,0091
000000,0087
011983,0082
011958,0078
000000,0073
011912,0071
011877,0067
011892,0064
011897,0062
