RPM,Temperature
,
000192,0020
000192,0020
000192,0019
000192,0020
000192,0019
000192,0019
000192,0019
000192,0019
000192,0019
000192,0019
000524,0000
002261,0019
003662,0019
004409,0020
000000,0020
005473,0020
005754,0021
005473,0022
005246,0022
000000,0022
004936,0022
004786,0023
004755,0026
004750,0031
004745,0036
004750,0042
004846,0049
004695,0053
004730,0058
004715,0062
004740,0066
004620,0069
004610,0072
004715,0074
004730,0076
004615,0077
004690,0079
004590,0080
004605,0081
004740,0082
004700,0083
004715,0084
004735,0085
004630,0086
004745,0087
004640,0088
004610,0089
004655,0090
004675,0090
004766,0091
004771,0092
004926,0093
004962,0094
005077,0095
005082,0095
005002,0096
000000,0096
005022,0096
000000,0096
005027,0097
005017,0097
005171,0099
005171,0101
006236,0104
008480,0109
010562,0116
011822,0126
013207,0139
013986,0162
015346,0184
016972,0206
019091,0244
019878,0275
022332,0316
022915,0362
023864,0393
025088,0428
026227,0459
028090,0493
029350,0518
030886,0535
032602,0545
-30724,0556
-31472,0556
028206,0527
021279,0000
019166,0435
017007,0391
015591,0351
014965,0306
013906,0275
013670,0248
014412,0230
013388,0211
013378,0194
013323,0180
000000,0166
013268,0159
013202,0147
013192,0141
013107,0134
013127,0128
013016,0000
013152,0117
000000,0113
013036,0110
012736,0104
012986,0102
