RPM,Temperature
,
000192,0018
000192,0019
000192,0018
000192,0018
000192,0018
000192,0018
000192,0018
000192,0018
000192,0018
000192,0018
000614,0018
002802,0018
004218,0018
005387,0019
005784,0019
006302,0019
000000,0019
006201,0020
005759,0020
005664,0020
005598,0020
005427,0021
005377,0024
005387,0029
005362,0035
005357,0041
005231,0047
005226,0053
005196,0057
005191,0062
005196,0065
005287,0068
000000,0000
005196,0073
005171,0075
005166,0076
005181,0078
005201,0080
005171,0081
005186,0082
005181,0083
000000,0084
005176,0085
000000,0086
000000,0087
005171,0088
000000,0089
000000,0090
005166,0091
005231,0091
005523,0092
005447,0093
005618,0093
005623,0093
005538,0093
005643,0093
005483,0092
005493,0091
005588,0090
005468,0090
005573,0089
005432,0088
005598,0089
000000,0091
009915,0000
011777,0105
