RPM,Temperature,Pump Value 1,Pump Value 2
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
000192,0019,80,255
003476,0019,80,255
000000,0000,80,255
000861,0019,80,255
002752,0000,80,255
002752,0000,80,255
003270,0019,80,255
003967,0019,80,255
004253,0019,80,255
004253,0019,80,255
004570,0019,80,255
004735,0019,80,255
004906,0020,80,255
005181,0020,80,255
005397,0020,80,255
005397,0000,80,255
005407,0020,80,255
005382,0020,80,255
005382,0020,160,16
004951,0020,160,16
004740,0020,160,16
004685,0020,160,16
004389,0020,160,16
004253,0020,160,16
004203,0021,160,16
004087,0020,160,16
003972,0021,160,16
000000,0021,160,16
000000,0021,160,16
000000,0021,160,16
003727,0021,160,16
003792,0021,160,16
003692,0022,160,16
003682,0024,160,16
003687,0026,160,16
003601,0028,160,16
003596,0030,160,16
003591,0032,160,16
003566,0035,160,16
003501,0037,160,16
003566,0039,160,16
003556,0041,160,16
003566,0044,160,16
003536,0047,160,16
003481,0049,160,16
003486,0051,160,16
003400,0053,160,16
003481,0055,160,16
003410,0057,160,16
003400,0059,160,16
003476,0060,160,16
003390,0062,160,16
003410,0064,160,16
003380,0065,160,16
003380,0066,160,16
003380,0068,160,16
003385,0070,160,16
003375,0071,160,16
003360,0072,160,16
003395,0073,160,16
003385,0075,160,16
003370,0076,160,16
003370,0077,160,16
000000,0078,160,16
003310,0079,160,16
003375,0080,160,16
003365,0081,160,16
003300,0081,160,16
003375,0082,160,16
003300,0083,160,16
003290,0084,160,16
003305,0085,160,16
000000,0085,160,16
000000,0085,160,16
003300,0086,160,16
003290,0087,160,16
003350,0087,160,16
003300,0088,160,16
003290,0089,160,16
003370,0090,160,16
003340,0090,160,16
003340,0090,160,16
003290,0091,160,21
003295,0091,160,21
003385,0092,160,21
003481,0093,160,21
003481,0093,160,21
003581,0093,160,21
003581,0093,160,21
003667,0094,160,21
003667,0094,160,21
003682,0095,160,21
003682,0095,160,21
003767,0095,160,21
003767,0095,160,21
003722,0096,160,21
003722,0096,160,21
003722,0096,160,21
003797,0097,160,21
000000,0000,160,21
000000,0000,160,21
000000,0097,160,21
003802,0099,160,21
000000,0099,160,21
000000,0099,160,21
000000,0099,160,21
000000,0099,160,21
000000,0100,160,21
000000,0100,160,22
003931,0101,160,22
000000,0000,160,22
000000,0000,160,22
000000,0102,160,23
000000,0102,160,23
000000,0103,160,23
003911,0103,160,23
000000,0104,160,24
000000,0105,160,24
003941,0105,160,24
003936,0106,160,24
003946,0107,160,25
003957,0109,160,25
000000,0110,160,25
003946,0111,160,25
003957,0112,160,25
004745,0113,160,35
005935,0114,160,35
006737,0115,160,35
007154,0115,160,35
007154,0115,160,45
008480,0118,160,45
009322,0119,160,45
009925,0124,160,55
010592,0127,160,55
011716,0138,160,55
011706,0142,160,55
000000,0150,160,55
012053,0154,160,55
000000,0160,160,55
012611,0165,160,55
013207,0168,160,55
013665,0176,160,55
014527,0181,160,55
013906,0193,160,55
014864,0203,160,55
015145,0215,160,55
015271,0000,160,55
000000,0252,160,55
016951,0270,160,55
017333,0289,160,55
017333,0289,160,55
017459,0326,160,55
018387,0341,160,55
019010,0000,160,55
000000,0362,160,55
019722,0397,160,55
019959,0420,160,55
000000,0433,160,55
020240,0459,160,55
022066,0000,160,55
022066,0000,160,55
022347,0512,160,55
022930,0528,160,55
023141,0542,160,55
022709,0555,160,55
023167,0572,160,55
023773,0586,160,55
023773,0586,160,55
024336,0602,160,55
024446,0612,160,55
024842,0621,160,55
000000,0000,160,55
025591,0645,160,55
026127,0652,160,55
026318,0664,160,55
026896,0674,160,55
027377,0679,160,55
027899,0687,160,55
028296,0692,160,55
028923,0696,160,55
029310,0701,160,55
000000,0703,160,55
030218,0706,160,55
030826,0707,160,55
031483,0707,160,55
031548,0708,160,55
000000,0708,160,55
032707,0706,160,55
033074,0703,160,55
000000,0702,160,55
033526,0698,160,55
034716,0694,160,55
035513,0691,160,55
036076,0685,160,55
036647,0681,160,55
037271,0671,160,55
038048,0666,160,55
038520,0655,160,55
039273,0649,160,55
000000,0643,160,55
040774,0632,160,55
041727,0627,160,55
042450,0615,160,55
044377,0603,160,55
044377,0603,160,55
045813,0592,160,55
045813,0592,160,55
046506,0581,160,55
000000,0572,160,55
000000,0572,160,55
049386,0559,160,55
049386,0559,160,55
049989,0549,160,55
000000,0540,160,55
000000,0540,160,55
051123,0531,160,55
051294,0525,160,55
051596,0520,160,55
052046,0511,160,55
052177,0506,160,55
052313,0502,160,55
052358,0497,160,55
052358,0497,160,55
052443,0491,160,55
052624,0000,160,55
052624,0000,160,55
052670,0000,160,55
052715,0478,160,55
052670,0476,160,55
052760,0474,160,55
052715,0472,160,55
052715,0471,160,55
052534,0469,160,55
052579,0468,160,55
052579,0468,160,55
052624,0467,160,55
052579,0466,160,55
052670,0464,160,55
052670,0464,160,55
052624,0463,160,55
047565,0459,160,55
040829,0451,160,55
035448,0443,160,55
033220,0432,160,55
029591,0419,160,55
026670,0405,160,55
021083,0382,160,55
020119,0366,160,55
018543,0360,160,55
016936,0339,160,55
015802,0329,160,55
014718,0319,160,55
014718,0319,160,55
013167,0301,160,55
013167,0301,160,55
011968,0286,160,55
011968,0286,160,55
010748,0273,160,55
000000,0267,160,55
000000,0267,160,55
009418,0257,160,55
009418,0257,160,55
008972,0249,160,55
008329,0244,160,55
007987,0240,160,55
007987,0240,160,55
007667,0235,160,55
007361,0232,160,55
006803,0000,160,55
006577,0000,160,55
006577,0000,160,55
006292,0000,160,55
006066,0000,160,55
005799,0219,160,55
005503,0218,160,55
005272,0216,160,55
005017,0213,160,55
004791,0212,160,55
004791,0212,160,55
004791,0212,160,55
004791,0212,160,55
004791,0212,160,55
000000,0207,160,55
003747,0206,160,55
003586,0205,160,55
003430,0203,160,55
003430,0203,160,55
003048,0202,160,55
002993,0202,160,55
002893,0201,160,55
002762,0201,160,55
002687,0200,160,55
002596,0200,160,55
002472,0200,160,55
002367,0200,160,55
002276,0200,160,55
002166,0200,160,55
002075,0200,160,55
002010,0199,160,55
001899,0199,160,55
001814,0200,160,55
001769,0200,160,55
001608,0200,160,55
001608,0200,160,55
001552,0200,160,55
