RPM,Temperature,Pump Value 1,Pump Value 2
000192,0020,0,0,45
000192,0020,0,0,45
000192,0020,0,0,45
000192,0020,0,0,45
000192,0020,0,0,45
000192,0020,0,0,45
000192,0020,0,0,45
000192,0020,0,0,45
000192,0020,0,0,45
000192,0020,0,0,45
000192,0020,0,0,45
001804,0020,0,0,45
002827,0020,0,0,45
004399,0020,0,0,45
005613,0020,0,0,45
006055,0021,0,0,45
006838,0021,0,0,45
006979,0021,0,0,45
006347,0021,0,0,45
006025,0021,160,16,45
005679,0022,160,16,50
005458,0023,160,16,50
005357,0026,160,16,50
005347,0031,160,16,50
005347,0036,160,16,50
005171,0042,160,16,50
005171,0048,160,16,50
005171,0054,160,16,50
005171,0059,160,16,50
004977,0063,160,16,50
005002,0067,160,16,50
004962,0070,160,16,50
004962,0070,160,16,60
005087,0074,160,16,60
004956,0076,160,16,60
004936,0078,160,16,60
004967,0079,160,16,60
004926,0081,160,16,60
004936,0082,160,16,60
004951,0083,160,16,60
004936,0083,160,16,60
004972,0084,160,16,60
005082,0084,160,16,60
004962,0085,160,16,60
004967,0085,160,16,60
004972,0085,160,16,60
005082,0086,160,16,60
004987,0086,160,16,60
004997,0086,160,16,60
004997,0087,160,16,60
005002,0087,160,16,60
005002,0087,160,16,60
004982,0088,160,16,60
004982,0088,160,16,60
004992,0088,160,16,60
004992,0089,160,16,60
004992,0089,160,16,60
004992,0089,160,16,60
004992,0090,160,16,60
005166,0090,160,16,60
005166,0090,160,21,60
005221,0090,160,21,60
005241,0090,160,21,60
005231,0090,160,21,60
005352,0090,160,21,60
005377,0090,160,21,60
005251,0090,160,21,60
005392,0091,160,21,60
005367,0092,160,21,60
005387,0092,160,21,60
005402,0095,160,22,60
005427,0101,160,22,60
005618,0106,160,23,60
005664,0111,160,24,60
005664,0111,160,24,60
005764,0120,160,15,60
010487,0137,160,15,60
013062,0158,160,15,60
014613,0184,160,15,60
015747,0209,160,21,60
017283,0231,160,22,60
019262,0260,160,23,60
019677,0276,160,24,60
020280,0308,160,26,60
021565,0335,160,26,60
021565,0335,160,27,60
023637,0391,160,28,60
023637,0391,160,28,60
024792,0435,160,29,60
024792,0435,160,29,60
024792,0460,160,30,60
026464,0470,160,30,60
026464,0470,160,30,60
027547,0470,160,32,60
027547,0470,160,32,60
028978,0496,160,33,60
028978,0504,160,33,60
030504,0512,160,34,60
031452,0519,160,34,60
031452,0526,160,35,60
033582,0534,160,35,60
034776,0540,160,36,60
036136,0545,160,37,60
037882,0548,160,38,60
039428,0552,160,39,60
041842,0555,160,41,60
044342,0559,160,42,60
047017,0563,160,44,60
050316,0565,82,255,60
053980,0564,82,255,60
057774,0561,83,255,60
061448,0554,83,255,60
064103,0546,84,255,60
065690,0535,85,255,60
065690,0526,85,255,60
068270,0511,86,255,60
069444,0501,86,255,60
069444,0494,86,255,60
070246,0494,86,255,60
070327,0479,86,255,60
070166,0474,86,255,60
070246,0469,86,255,60
070166,0464,86,255,60
070327,0461,86,255,60
070407,0459,86,255,60
070246,0457,85,255,60
070246,0457,85,255,60
068896,0453,85,255,60
068896,0452,85,255,60
068896,0451,85,255,60
068896,0451,85,255,60
068896,0450,84,255,60
068896,0450,84,255,60
068896,0449,84,255,60
068896,0449,84,255,60
067140,0448,84,255,60
066919,0449,84,255,60
066919,0450,83,255,60
066271,0451,83,255,60
066271,0451,83,255,60
065830,0450,83,255,60
065760,0450,83,255,60
065484,0449,83,255,60
065690,0449,83,255,60
065413,0450,83,255,60
065484,0449,83,255,60
065624,0450,82,255,60
065137,0450,82,255,60
065137,0450,82,255,60
064576,0449,82,255,60
064440,0448,82,255,60
064169,0448,82,255,60
064103,0448,82,255,60
064103,0448,82,255,60
064239,0448,82,255,60
064038,0448,82,255,60
064169,0449,82,255,60
064239,0450,82,255,60
064169,0450,82,255,60
064169,0450,82,255,60
064239,0450,81,255,60
063772,0450,81,255,60
063772,0449,81,255,60
063772,0449,81,255,60
063039,0448,81,255,60
062718,0448,81,255,60
062718,0448,81,255,60
062527,0448,81,255,60
062527,0448,81,255,60
062462,0449,81,255,60
062587,0450,81,255,60
062652,0450,81,255,60
062527,0451,81,255,60
062587,0452,81,255,60
062587,0452,81,255,60
062587,0452,81,255,60
062783,0453,81,255,60
062843,0453,81,255,60
062974,0454,81,255,60
062843,0454,81,255,60
062909,0454,81,255,60
062974,0454,81,255,60
062843,0454,81,255,60
062974,0454,81,255,60
062718,0454,80,255,60
062401,0454,80,255,60
062401,0454,80,255,60
062006,0453,80,255,60
061760,0452,80,255,60
061760,0452,80,255,60
061634,0452,80,255,60
061634,0451,80,255,60
061820,0451,80,255,60
061699,0451,80,255,60
061634,0451,80,255,60
061699,0452,80,255,60
061634,0452,80,255,60
061699,0452,80,255,60
061634,0452,80,255,60
061820,0452,80,255,60
061760,0452,80,255,60
062006,0451,80,255,60
061885,0451,80,255,60
061760,0451,80,255,60
061699,0451,80,255,60
061760,0451,80,255,60
061760,0452,80,255,60
061760,0452,80,255,60
061885,0453,80,255,60
061760,0453,80,255,60
061699,0453,80,255,60
061634,0453,80,255,60
061513,0454,80,255,60
061513,0455,80,255,60
061699,0456,80,255,60
061513,0456,80,255,60
061574,0457,80,255,60
061574,0457,80,255,60
061699,0458,80,255,60
061699,0458,80,255,60
061820,0459,80,255,60
061820,0458,80,255,60
061760,0458,80,255,60
061820,0458,80,255,60
061760,0457,80,255,60
061885,0458,80,255,60
061885,0458,80,255,60
061885,0459,80,255,60
061885,0460,80,255,60
061885,0459,79,255,60
061885,0459,79,255,60
061267,0456,79,255,60
061267,0455,79,255,60
061267,0454,79,255,60
061267,0454,79,255,60
060771,0453,79,255,60
060711,0453,79,255,60
060771,0452,79,255,60
060470,0452,79,255,60
060530,0452,79,255,60
060470,0452,79,255,60
060470,0452,79,255,60
060590,0453,79,255,60
060650,0453,79,255,60
060711,0453,79,255,60
060711,0454,79,255,60
060590,0454,79,255,60
060771,0454,79,255,60
060771,0454,79,255,60
060771,0455,79,255,60
060771,0455,79,255,60
060771,0456,79,255,60
060711,0456,79,255,60
060711,0456,79,255,60
060711,0456,79,255,60
060711,0456,79,255,60
060771,0456,79,255,60
060771,0456,79,255,60
060771,0455,79,255,60
060771,0454,79,255,60
060771,0454,79,255,60
060771,0453,79,255,60
060771,0452,79,255,60
060771,0452,79,255,60
060771,0452,79,255,60
060771,0453,79,255,60
060771,0453,79,255,60
060771,0455,79,255,60
060771,0455,79,255,60
061086,0456,79,255,60
061086,0455,79,255,60
061086,0455,79,255,60
061086,0454,79,255,60
061086,0454,79,255,60
061086,0454,79,255,60
061086,0454,79,255,60
060771,0454,79,255,60
060771,0456,79,255,60
060771,0455,79,255,60
060771,0456,79,255,60
060771,0456,79,255,60
060771,0456,79,255,60
060771,0455,79,255,60
061086,0455,79,255,60
061086,0454,79,255,60
061086,0453,79,255,60
061086,0453,79,255,60
061086,0453,79,255,60
061086,0453,79,255,60
060650,0452,79,255,60
060771,0453,79,255,60
060650,0453,79,255,60
060771,0453,79,255,60
060771,0452,79,255,60
060711,0452,79,255,60
060771,0451,79,255,60
060590,0451,79,255,60
060349,0451,79,255,60
060409,0452,79,255,60
060349,0452,79,255,60
060294,0452,79,255,60
060233,0453,79,255,60
060349,0453,79,255,60
060409,0454,79,255,60
060530,0454,79,255,60
060409,0454,79,255,60
060409,0453,79,255,60
060349,0453,79,255,60
060349,0453,79,255,60
060294,0453,79,255,60
060233,0452,79,255,60
060058,0451,79,255,60
060118,0450,79,255,60
059942,0451,79,255,60
060058,0451,79,255,60
060058,0451,79,255,60
060233,0452,79,255,60
060349,0452,79,255,60
060409,0453,79,255,60
060530,0453,79,255,60
060590,0453,79,255,60
060470,0453,79,255,60
060711,0453,79,255,60
060711,0452,79,255,60
060711,0453,79,255,60
060711,0453,79,255,60
060711,0453,79,255,60
060711,0453,79,255,60
061086,0453,79,255,60
061207,0453,79,255,60
061207,0453,79,255,60
061327,0453,79,255,60
061327,0453,79,255,60
061267,0453,79,255,60
061388,0452,79,255,60
061327,0451,79,255,60
061267,0450,79,255,60
061207,0449,79,255,60
061207,0448,79,255,60
061086,0447,79,255,60
061086,0447,79,255,60
061086,0448,79,255,60
061086,0449,79,255,60
061086,0449,79,255,60
061086,0449,79,255,60
060771,0450,78,255,60
060650,0451,78,255,60
059821,0450,78,255,60
059821,0449,78,255,60
059821,0449,78,255,60
059235,0449,78,255,60
058838,0449,78,255,60
058667,0449,78,255,60
058667,0449,78,255,60
058667,0450,78,255,60
058667,0450,78,255,60
058667,0450,78,255,60
058501,0451,78,255,60
058501,0451,78,255,60
058612,0452,78,255,60
058783,0452,78,255,60
058722,0452,78,255,60
058838,0452,78,255,60
058838,0452,78,255,60
059004,0453,78,255,60
059175,0453,78,255,60
058948,0454,78,255,60
059290,0454,78,255,60
059345,0455,78,255,60
059235,0455,78,255,60
059345,0456,78,255,60
059406,0455,78,255,60
059461,0455,78,255,60
059290,0455,78,255,60
059235,0455,78,255,60
059064,0455,78,255,60
059119,0455,78,255,60
059235,0455,78,255,60
059064,0454,78,255,60
058948,0454,78,255,60
058948,0454,78,255,60
059004,0455,78,255,60
059004,0455,78,255,60
058893,0456,78,255,60
058893,0455,78,255,60
058838,0454,78,255,60
058838,0454,78,255,60
058893,0454,78,255,60
059064,0453,78,255,60
059175,0454,79,255,60
059175,0454,79,255,60
059997,0455,79,255,60
059997,0455,79,255,60
060530,0456,79,255,60
060530,0458,79,255,60
060530,0458,79,255,60
061086,0457,79,255,60
061086,0457,79,255,60
061086,0455,79,255,60
061086,0455,79,255,60
060771,0455,79,255,60
060711,0454,79,255,60
060530,0453,79,255,60
060349,0453,79,255,60
060233,0453,79,255,60
060058,0454,79,255,60
060058,0454,79,255,60
060058,0455,79,255,60
060118,0456,79,255,60
060058,0455,79,255,60
059997,0454,79,255,60
059997,0454,79,255,60
056178,0447,79,255,60
054908,0443,79,255,60
053603,0441,78,255,60
053603,0441,78,255,60
052760,0441,78,255,60
052046,0443,78,255,60
052046,0446,78,255,60
052177,0450,78,255,60
052177,0450,78,255,60
049096,0451,78,255,60
043796,0445,78,255,60
038189,0433,78,255,60
034560,0419,0,0,60
028586,0399,0,0,60
026172,0393,0,0,60
023376,0385,0,0,60
023376,0385,0,0,60
017399,0361,0,0,60
015075,0340,0,0,60
013499,0327,0,0,60
012103,0312,0,0,60
010768,0297,0,0,60
009729,0285,0,0,60
008856,0275,0,0,60
008168,0268,0,0,60
007466,0261,0,0,60
006883,0256,0,0,60
